seconds_since_launch,position_ned_m[0],position_ned_m[1],position_ned_m[2],velocity_ned_mps[0],velocity_ned_mps[1],velocity_ned_mps[2],accel_body_mps2[0],accel_body_mps2[1],accel_body_mps2[2],orientation_rad[0],orientation_rad[1],orientation_rad[2],angular_rate_body_radps[0],angular_rate_body_radps[1],angular_rate_body_radps[2],position_sigma_ned_m[0],position_sigma_ned_m[1],position_sigma_ned_m[2]
-4.99849009514,5.0812893,7.721468,-4.3139267,0.0,0.0,0.0,2.050683,-0.045287956,-9.522844,0.008889593,0.21792145,2.7413452,-0.0018682719,0.0018273236,-0.001197971,0.36165828,0.62569416,0.8431047
-4.97850012779,5.0812893,7.721468,-4.3139267,0.0,0.0,0.0,2.1989577,-0.078153566,-9.472859,0.008886527,0.21794055,2.7413447,-0.00046566236,0.0007593695,1.5317326e-05,0.36165828,0.62569416,0.8431047
-4.95849013329,5.0812893,7.721468,-4.3139267,0.0,0.0,0.0,2.0673275,-0.16908652,-9.6431675,0.008891039,0.2179356,2.7413456,-0.0013494756,-0.0016235166,0.0006274925,0.36165828,0.62569416,0.8431047
-4.93791007996,5.080365,7.7217617,-4.31787,0.0,0.0,0.0,2.093231,-0.037142865,-9.650335,0.008898655,0.21793367,2.7413473,-0.0032615494,-0.00047267845,0.0021802618,0.36167553,0.62570584,0.843176
-4.91851997375,5.080365,7.7217617,-4.31787,0.0,0.0,0.0,2.1340668,0.1086091,-9.47449,0.008902666,0.21794857,2.7413483,0.0031613326,-0.00061047316,-0.0016083125,0.36167553,0.62570584,0.843176
-4.89851999283,5.0804567,7.721123,-4.3201857,0.0,0.0,0.0,2.079813,-0.07910772,-9.4778,0.008897203,0.21793513,2.741347,0.0075112083,0.00034965598,-0.003852527,0.3616927,0.6257169,0.84324384
-4.87853002548,5.0804567,7.721123,-4.3201857,0.0,0.0,0.0,2.1261878,-0.23048314,-9.58126,0.008892706,0.21793932,2.741346,0.0034299851,0.0014140158,0.00252604,0.3616927,0.6257169,0.84324384
-4.85854005814,5.0804405,7.7230053,-4.320895,0.0,0.0,0.0,2.2200282,-0.1373841,-9.552584,0.00888647,0.21794876,2.7413447,-0.00023314022,-0.0022274565,0.0022923294,0.36171016,0.62572926,0.8433157
-4.83854007721,5.0804405,7.7230053,-4.320895,0.0,0.0,0.0,2.0162628,-0.13695417,-9.665349,0.008878457,0.21794797,2.741343,-0.0006019444,-0.0026905667,-0.0010237251,0.36171016,0.62572926,0.8433157
-4.81855010986,5.0804405,7.7230053,-4.320895,0.0,0.0,0.0,2.0939922,-0.21678725,-9.535292,0.008877756,0.21794073,2.7413428,-0.0029402461,0.0035620586,-0.002809497,0.36171016,0.62572926,0.8433157
-4.7981300354,5.0811396,7.7229753,-4.313004,0.0,0.0,0.0,2.254088,-0.07341207,-9.446303,0.008879457,0.21794394,2.741343,-0.0051622028,-0.0014680296,2.3314938e-06,0.36172846,0.6257416,0.8433897
