seconds_since_launch,position_ned_m[0],position_ned_m[1],position_ned_m[2],velocity_ned_mps[0],velocity_ned_mps[1],velocity_ned_mps[2],accel_body_mps2[0],accel_body_mps2[1],accel_body_mps2[2],orientation_rad[0],orientation_rad[1],orientation_rad[2],angular_rate_body_radps[0],angular_rate_body_radps[1],angular_rate_body_radps[2],position_sigma_ned_m[0],position_sigma_ned_m[1],position_sigma_ned_m[2]
-4.99847984314,2.5152342,8.411606,-3.399955,0.0,0.0,0.0,2.1059082,0.085451946,-9.539049,0.0061422647,0.21933556,2.7407496,-0.0005758542,-0.0035506408,0.0034462286,1.0990223,0.92264515,2.0085108
-4.97845983505,2.5152342,8.411606,-3.399955,0.0,0.0,0.0,1.9853802,0.016255442,-9.562499,0.00614935,0.21934138,2.740751,0.0051473225,0.0023813888,0.00101954,1.0990223,0.92264515,2.0085108
-4.95847988129,2.5088677,8.4141035,-3.3931036,0.0,0.0,0.0,2.2822385,-0.16504097,-9.5384,0.006146691,0.21934952,2.7407506,0.006291986,0.00206606,0.0011829037,1.0992024,0.9227364,2.0088503
-4.93847990036,2.5088677,8.4141035,-3.3931036,0.0,0.0,0.0,2.1045485,-0.1932807,-9.651721,0.0061373436,0.21934836,2.7407484,0.0030705815,-0.0048536155,-8.590439e-05,1.0992024,0.9227364,2.0088503
-4.91848993301,2.5087528,8.415863,-3.390816,0.0,0.0,0.0,2.0605319,-0.10553432,-9.606944,0.0061373725,0.21934445,2.7407484,0.0018608224,0.00080437446,-0.00021787662,1.0993863,0.9228295,2.0091925
-4.89849996567,2.5087528,8.415863,-3.390816,0.0,0.0,0.0,2.1759968,-0.054733418,-9.502877,0.0061442964,0.21934159,2.74075,0.0010328863,-0.00039063557,-0.00302199,1.0993863,0.9228295,2.0091925
-4.87787985802,2.5110543,8.413096,-3.395651,0.0,0.0,0.0,2.107112,-0.11774802,-9.616139,0.0061476883,0.21934931,2.7407508,-0.0004993764,0.00090777676,-0.0013747602,1.0995712,0.92292416,2.0095403
-4.8585100174,2.5110543,8.413096,-3.395651,0.0,0.0,0.0,2.1054852,-0.12288409,-9.593447,0.00614468,0.21934737,2.74075,-0.0059442967,-0.00030335362,0.0023822987,1.0995712,0.92292416,2.0095403
-4.83851003647,2.5110543,8.413096,-3.395651,0.0,0.0,0.0,2.0468805,-0.037048273,-9.723351,0.006144101,0.21933687,2.7407498,-0.0069813337,-4.0394743e-06,0.0025086927,1.0995712,0.92292416,2.0095403
-4.8185198307,2.5133505,8.40958,-3.398184,0.0,0.0,0.0,2.2100334,-0.041844856,-9.57413,0.006148027,0.2193322,2.7407508,-0.0029951874,0.0008083326,-0.00023701285,1.0997552,0.92301977,2.00989
-4.79852986336,2.5133505,8.40958,-3.398184,0.0,0.0,0.0,2.1327271,-0.007821097,-9.534773,0.0061454875,0.21934596,2.7407503,-0.0011513685,-0.0014314811,-0.0017903361,1.0997552,0.92301977,2.00989
-4.77852988243,2.516865,8.409769,-3.4063241,0.0,0.0,0.0,2.0180788,-0.13309035,-9.591591,0.0061399,0.21934685,2.7407491,-3.1639796e-05,0.0012588827,-7.892324e-05,1.0999354,0.9231149,2.0102348
-4.75853991508,2.516865,8.409769,-3.4063241,0.0,0.0,0.0,2.2500775,-0.090786636,-9.603016,0.006135704,0.21933788,2.7407482,-0.002409053,-0.000824744,8.997544e-05,1.0999354,0.9231149,2.0102348
-4.73854994774,2.516865,8.409769,-3.4063241,0.0,0.0,0.0,2.0282195,0.03992681,-9.567785,0.006142746,0.21933843,2.7407496,-0.0010869066,-0.0020406751,0.0009639172,1.0999354,0.9231149,2.0102348
-4.71854996681,2.512995,8.410229,-3.397616,0.0,0.0,0.0,2.1084132,-0.022973353,-9.552931,0.0061594984,0.21934575,2.7407534,0.003639535,0.0016238454,-0.0020383948,1.1001121,0.9232117,2.010577
-4.69855999947,2.512995,8.410229,-3.397616,0.0,0.0,0.0,2.2088022,-0.0043301634,-9.549375,0.0061626076,0.21934289,2.740754,0.005309001,-0.0007597718,0.001268407,1.1001121,0.9232117,2.010577
-4.67857003212,2.5119343,8.409767,-3.39753,0.0,0.0,0.0,2.0482266,-0.10030028,-9.709081,0.00615364,0.21933787,2.740752,0.00706652,-0.0017323287,0.0026565427,1.1002853,0.92330766,2.0109146
-4.65856981277,2.5119343,8.409767,-3.39753,0.0,0.0,0.0,2.1055853,-0.10207103,-9.565302,0.0061528217,0.2193369,2.7407517,0.0043889466,0.0015293909,-0.0012764512,1.1002853,0.92330766,2.0109146
-4.63857984543,2.5119343,8.409767,-3.39753,0.0,0.0,0.0,2.1465492,-0.12172184,-9.588208,0.0061510447,0.2193439,2.7407515,0.0019451645,-0.0011079741,-0.0026850253,1.1002853,0.92330766,2.0109146
-4.61830997467,2.5125377,8.411091,-3.397258,0.0,0.0,0.0,2.054376,-0.13399714,-9.610421,0.0061380067,0.21934171,2.7407486,0.0007311033,-0.0001716326,5.1472383e-05,1.1004552,0.9234028,2.0112457
-4.59858989716,2.5125377,8.411091,-3.397258,0.0,0.0,0.0,2.1306472,-0.11336718,-9.557245,0.00613055,0.21932149,2.740747,-0.004105734,0.0021919135,0.0030889316,1.1004552,0.9234028,2.0112457
-4.57859992981,2.51598,8.412511,-3.4028237,0.0,0.0,0.0,2.1224256,-0.10950677,-9.610591,0.006137624,0.21934472,2.7407484,-0.00642407,-0.00016830754,0.0015455335,1.100626,0.9234972,2.011576
-4.55859994888,2.51598,8.412511,-3.4028237,0.0,0.0,0.0,2.1030552,-0.005373886,-9.6709385,0.0061468338,0.21933867,2.7407506,-0.0031342544,-0.0008734297,-0.0025577974,1.100626,0.9234972,2.011576
-4.5385799408,2.51598,8.412511,-3.4028237,0.0,0.0,0.0,2.038291,-0.016678724,-9.603291,0.006149001,0.2193278,2.740751,-0.0038135538,-0.00011884978,-0.0025129789,1.100626,0.9234972,2.011576
-4.51862001419,2.5162444,8.410713,-3.4041834,0.0,0.0,0.0,2.1387599,-0.057341725,-9.523391,0.006147165,0.21933691,2.7407506,-0.0020920457,0.0012548113,-0.00024344418,1.1007996,0.9235922,2.0119085
-4.49862003326,2.5162444,8.410713,-3.4041834,0.0,0.0,0.0,2.1788568,0.07865333,-9.61045,0.0061503532,0.21933244,2.7407513,-0.00093728927,-0.002095456,0.0016032166,1.1007996,0.9235922,2.0119085
-4.47843003273,2.5162444,8.410713,-3.4041834,0.0,0.0,0.0,1.9758354,-0.016325032,-9.621218,0.0061539235,0.2193285,2.740752,0.0028844485,0.00013078272,0.0002307336,1.1007996,0.9235922,2.0119085
-4.45708990097,2.514343,8.411386,-3.3991046,0.0,0.0,0.0,2.18368,-0.08760195,-9.571827,0.006150617,0.21931192,2.7407513,0.004288519,0.0023710327,-0.0014305698,1.100973,0.9236871,2.0122406
-4.43858981133,2.514343,8.411386,-3.3991046,0.0,0.0,0.0,2.1851573,-0.119784616,-9.522159,0.006147764,0.21932364,2.7407506,0.0017949915,-0.0016909483,0.00069403654,1.100973,0.9236871,2.0122406
-4.41864991188,2.5109053,8.411783,-3.395113,0.0,0.0,0.0,2.032879,-0.05189519,-9.571448,0.0061421916,0.21932554,2.7407494,0.0018335956,-0.001831345,-0.00028862763,1.1011436,0.9237808,2.0125687
