seconds_since_launch,position_ned_m[0],position_ned_m[1],position_ned_m[2],velocity_ned_mps[0],velocity_ned_mps[1],velocity_ned_mps[2],accel_body_mps2[0],accel_body_mps2[1],accel_body_mps2[2],orientation_rad[0],orientation_rad[1],orientation_rad[2],angular_rate_body_radps[0],angular_rate_body_radps[1],angular_rate_body_radps[2],position_sigma_ned_m[0],position_sigma_ned_m[1],position_sigma_ned_m[2]
-4.9985101223,5.076303,7.2398205,-3.440165,0.0,0.0,0.0,2.038643,0.010823184,-9.540555,0.0071407757,0.2164076,2.7409582,0.002317542,-0.0022106085,-0.0014961951,0.6699574,0.59831834,0.88769567
-4.97851991653,5.076303,7.2398205,-3.440165,0.0,0.0,0.0,2.125663,-0.05320611,-9.716799,0.0071342983,0.21640006,2.7409568,0.003744349,0.0015454957,0.0003287067,0.6699574,0.59831834,0.88769567
-4.95851993561,5.0771255,7.23983,-3.4420106,0.0,0.0,0.0,2.065129,-0.049325127,-9.471217,0.007130606,0.21641701,2.740956,0.0028043801,0.0032119663,0.0019375131,0.66996866,0.5983289,0.8877323
-4.93852996826,5.0771255,7.23983,-3.4420106,0.0,0.0,0.0,2.0814126,-0.07717968,-9.508964,0.0071288617,0.21640721,2.7409556,0.0036506455,-0.0019399057,0.0011572366,0.66996866,0.5983289,0.8877323
-4.91851997375,5.0773273,7.238056,-3.4409688,0.0,0.0,0.0,2.1573853,-0.18036798,-9.627151,0.007121383,0.21640371,2.740954,0.0037249161,-0.0005162153,0.00033151353,0.6699791,0.5983394,0.8877671
-4.89854001999,5.0773273,7.238056,-3.4409688,0.0,0.0,0.0,2.0402906,-0.19040653,-9.512983,0.0071137073,0.21642414,2.7409523,5.5706856e-05,0.0017465877,-6.3252315e-05,0.6699791,0.5983394,0.8877671
-4.87855005264,5.0773273,7.238056,-3.4409688,0.0,0.0,0.0,2.1107664,-0.101088636,-9.563224,0.007115462,0.2164207,2.7409527,-0.001533558,-0.000999095,-0.0015411968,0.6699791,0.5983394,0.8877671
-4.85855007172,5.075133,7.2402864,-3.4439573,0.0,0.0,0.0,2.1446753,-0.067237586,-9.554601,0.0071236426,0.21641737,2.7409544,-0.003331185,-0.0012856352,-0.0015312084,0.6699918,0.5983509,0.8878066
-4.83856010437,5.075133,7.2402864,-3.4439573,0.0,0.0,0.0,2.0533922,-0.018059572,-9.580824,0.007123956,0.216431,2.7409546,-0.0027559905,0.00079262786,0.00038414737,0.6699918,0.5983509,0.8878066
-4.81857013702,5.075133,7.2402864,-3.4439573,0.0,0.0,0.0,2.121522,-0.021908531,-9.552322,0.0071204985,0.21642676,2.740954,-0.0015506571,-0.0020265472,0.002260997,0.6699918,0.5983509,0.8878066
-4.79856991768,5.073899,7.239859,-3.4441347,0.0,0.0,0.0,2.097304,-0.043839168,-9.570888,0.0071213064,0.21642634,2.740954,-0.0013162232,0.0004511232,0.0015700329,0.6700036,0.5983609,0.8878436
