flight_id,air_temperature,battery_serial_number,body_serial_number,commit,launch_airspeed,launch_groundspeed,launch_timestamp,preflight_voltage,rel_humidity,static_pressure,wind_direction,wind_magnitude,wing_serial_number
16951,20.55,15SPJJJ09036021,577350132807348254,5c504d9a16,32.45344543457031,30.16465563418132,2018-09-06 07:43:59 CAT,,74.15,80662.08173600446,-49.434555326781336,1.9493382008069269,15SPJJJ11024054
16952,20.5,15SPJJJ10029029,577209618523054122,5c504d9a16,32.14120864868164,30.535246125202182,2018-09-06 07:51:49 CAT,,71.17504354808256,80708.0653138726,-4.408768056968672,0.9173566281362604,15SPJJJ09011032
16954,24.475018567717616,15SPJJJ10012034,577209618523054122,5c504d9a16,34.70187759399414,29.872613305438353,2018-09-06 09:56:37 CAT,,66.3749815166739,80774.27043832066,-23.458781321837478,3.7883831136778654,15SPJJJ09011032
16955,27.3,15SPJJJ10054027,577209618523082792,5c504d9a16,34.36899948120117,29.877623757911977,2018-09-06 10:27:04 CAT,,59.0,80805.13879284788,-46.747880779483005,3.9216052358162576,15SPJJJ11049056
16957,26.950000000000003,15SPJJJ10050049,577348835962150933,5c504d9a16,32.89897918701172,30.027183471848588,2018-09-06 11:09:39 CAT,,63.900000000000006,80768.96930652791,-29.29336009854321,2.9758808648134054,15SPJJJ09031032
16959,28.574950541089898,15SPJJJ09018015,577350132840857611,5c504d9a16,33.25800704956055,30.178810772423578,2018-09-06 11:31:07 CAT,,65.07495054108989,80621.20102602958,-68.36083811675873,2.750346025295566,15SPJJJ11024054
16960,27.550000000000004,15SPJJJ09017016,577209618523082792,5c504d9a16,33.937339782714844,30.063186797674305,2018-09-06 12:55:23 CAT,,61.25,80599.89896950836,-27.822443333696082,1.556340427316933,15SPJJJ09031032
16961,28.25,15SPJJJ10023027,577350132807348254,5c504d9a16,33.59897994995117,29.969514887172384,2018-09-06 13:09:51 CAT,,53.5,80552.49125879194,7.094332685096083,2.378606979314085,15SPJJJ11049056
16962,28.6,15SPJJJ10052026,577350132840857611,5c504d9a16,31.639850616455078,30.263740670404555,2018-09-06 13:43:05 CAT,,60.37498211200109,80445.0178767346,-46.053006467168174,1.1619244598179594,15SPJJJ09011032
16965,32.25,15SPJJJ10029029,577209618523054122,5c504d9a16,32.744956970214844,30.35477501392518,2018-09-06 14:56:25 CAT,,49.6,80379.64658322227,-17.59464003488049,2.742026903888676,15SPJJJ11049056
16967,32.399999915565125,15SPJJJ09036021,577350132807348254,5c504d9a16,33.74803924560547,30.14972275610877,2018-09-06 15:02:27 CAT,,57.62498767669064,80382.99397649198,-6.229943898974954,2.676329969351931,15SPJJJ09031032
16980,18.2,15SPJJJ10052026,577348835962150933,5c504d9a16,28.267581939697266,31.022849853528864,2018-09-06 17:46:38 CAT,,67.8,80473.48602179797,173.52405257368426,2.3755739700322134,15SPJJJ11024054
16983,18.400000000000002,15SPJJJ10050049,577350132840857611,5c504d9a16,30.38840103149414,31.129857902595546,2018-09-06 18:04:04 CAT,,65.9,80371.51063422543,177.28880655868963,1.7803189224164353,15SPJJJ09025064
16984,18.200000000000003,15SPJJJ09013015,577350132807348254,5c504d9a16,28.8276309967041,30.508999982327467,2018-09-06 17:56:06 CAT,,65.75,80554.22211152391,157.40733372313986,1.994029840419324,15SPJJJ11049056
16985,18.6,15SPJJJ10023027,577209618523082792,5c504d9a16,29.9868221282959,30.179998095736988,2018-09-06 18:08:27 CAT,32.15196228027344,63.75,80576.39967368153,158.0211113370312,1.4173881582858843,15SPJJJ09031032
16986,18.3,15SPJJJ09036021,577348835962150933,5c504d9a16,30.603927612304688,30.119736213651784,2018-09-06 18:25:40 CAT,,69.47499181380883,80468.88522599703,-38.57522233139434,0.31400023081991446,15SPJJJ11024054
16987,18.400000000000002,15SPJJJ10052026,577350132807348254,5c504d9a16,28.834123611450195,30.82900897131299,2018-09-06 18:53:48 CAT,32.312931060791016,68.25,80493.80803330116,144.95529567703494,1.199771043219552,15SPJJJ09011032
16988,18.376522998276126,15SPJJJ10008029,577209618523082792,5c504d9a16,28.435474395751953,30.47429736037506,2018-09-06 18:59:13 CAT,,64.87652299827613,80579.95985582663,163.84357608939152,2.387406616810841,15SPJJJ11049056
16989,23.174990630555566,15SPJJJ09013015,577350132807348254,5c504d9a16,30.78931999206543,30.24755559576653,2018-09-07 08:15:22 CAT,31.841903686523438,70.14999982706749,80651.93775395886,-41.72055068485929,1.5006983694872358,15SPJJJ11024054
16990,23.75,15SPJJJ09017016,577348835962155029,5c504d9a16,32.47169876098633,30.016797203854527,2018-09-07 08:22:40 CAT,32.25459289550781,65.80000000000001,80717.92373708313,-50.509132986510494,1.6594571819712214,15SPJJJ09032034
