seconds_since_launch,position_ned_m[0],position_ned_m[1],position_ned_m[2],velocity_ned_mps[0],velocity_ned_mps[1],velocity_ned_mps[2],accel_body_mps2[0],accel_body_mps2[1],accel_body_mps2[2],orientation_rad[0],orientation_rad[1],orientation_rad[2],angular_rate_body_radps[0],angular_rate_body_radps[1],angular_rate_body_radps[2],position_sigma_ned_m[0],position_sigma_ned_m[1],position_sigma_ned_m[2]
-4.99850010872,4.4223146,7.245161,-2.0881417,0.0,0.0,0.0,2.037871,-0.2327388,-9.435443,0.007461705,0.2165945,2.7410288,0.0076769874,-0.0015256612,0.0026500227,1.234669,1.5230448,1.9107331
-4.97850990295,4.4254904,7.2462316,-2.0903654,0.0,0.0,0.0,2.1104023,-0.25496206,-9.704058,0.007443958,0.21659079,2.7410247,0.0007527552,0.0002281463,0.0063045467,1.2346781,1.5230551,1.9107518
-4.95850992203,4.4254904,7.2462316,-2.0903654,0.0,0.0,0.0,2.2204075,-0.11897717,-9.558054,0.0074586337,0.21660107,2.741028,-0.00096861814,0.0015499308,0.0024150505,1.2346781,1.5230551,1.9107518
-4.93849992752,4.4254904,7.2462316,-2.0903654,0.0,0.0,0.0,1.9452848,-0.059302293,-9.481212,0.007473013,0.21659172,2.7410312,0.005590183,-0.0011575259,-0.0050463453,1.2346781,1.5230551,1.9107518
-4.91850996017,4.427261,7.244192,-2.0904937,0.0,0.0,0.0,2.1683273,-0.121658415,-9.689644,0.007472581,0.21658488,2.741031,0.0046251616,-0.0008170423,-0.0053930674,1.2346915,1.5230652,1.9107744
-4.89850997925,4.427261,7.244192,-2.0904937,0.0,0.0,0.0,2.0974631,-0.13219236,-9.751862,0.007457194,0.21660098,2.7410276,-0.0013042055,0.0013354168,0.00087055104,1.2346915,1.5230652,1.9107744
-4.8785200119,4.4268394,7.2447405,-2.089732,0.0,0.0,0.0,2.0319977,0.00850581,-9.360269,0.007461779,0.21658467,2.7410285,-0.0027526298,0.00044264196,0.0038127606,1.234753,1.5231098,1.9108695
-4.85853004456,4.4268394,7.2447405,-2.089732,0.0,0.0,0.0,2.176988,-0.06696275,-9.585613,0.007461545,0.21658434,2.7410285,-0.0013338422,-0.0024630562,0.002322045,1.234753,1.5231098,1.9108695
-4.83853006363,4.4258413,7.2453203,-2.0912595,0.0,0.0,0.0,2.0639784,-0.18417278,-9.810974,0.007438801,0.2165897,2.7410238,-0.0007483105,0.0034799473,-0.0005354276,1.2347695,1.5231209,1.9108948
-4.81785988808,4.4258413,7.2453203,-2.0912595,0.0,0.0,0.0,2.1336386,-0.19491316,-9.403745,0.0074346433,0.21657753,2.7410228,-0.0028915112,0.001682792,-0.0010538655,1.2347695,1.5231209,1.9108948
-4.79854989052,4.4258413,7.2453203,-2.0912595,0.0,0.0,0.0,2.1052108,-0.13346526,-9.598859,0.0074464567,0.21657991,2.7410252,-0.005070367,-0.002270527,-0.0017191748,1.2347695,1.5231209,1.9108948
-4.77854990959,4.4257736,7.2448645,-2.0895908,0.0,0.0,0.0,2.191317,-0.021325618,-9.631217,0.0074562035,0.21658036,2.7410274,-0.00123976,0.0028335876,-0.0009899352,1.2347827,1.5231313,1.9109167
