seconds_since_launch,position_ned_m[0],position_ned_m[1],position_ned_m[2],velocity_ned_mps[0],velocity_ned_mps[1],velocity_ned_mps[2],accel_body_mps2[0],accel_body_mps2[1],accel_body_mps2[2],orientation_rad[0],orientation_rad[1],orientation_rad[2],angular_rate_body_radps[0],angular_rate_body_radps[1],angular_rate_body_radps[2],position_sigma_ned_m[0],position_sigma_ned_m[1],position_sigma_ned_m[2]
-4.99847984314,3.732028,4.78926,-4.146863,0.0,0.0,0.0,2.0243442,-0.18428934,-9.698375,0.005981105,0.21895374,2.7407131,0.0011803812,-0.00407727,-0.0015305148,0.7399652,0.71873826,1.1302495
-4.97845983505,3.732028,4.78926,-4.146863,0.0,0.0,0.0,1.985778,-0.088072464,-9.489734,0.0059819836,0.2189521,2.7407134,-0.0021381332,0.0046413015,-0.0012945064,0.7399652,0.71873826,1.1302495
-4.95843982697,3.7304108,4.787985,-4.1453876,0.0,0.0,0.0,2.3491294,-0.012826628,-9.375847,0.0059852214,0.2189441,2.740714,-0.0020247113,0.0005423071,-0.0022716802,0.7399856,0.71874714,1.1303
-4.93849992752,3.7304108,4.787985,-4.1453876,0.0,0.0,0.0,2.12784,-0.0688052,-9.577123,0.005987081,0.2189438,2.7407143,-0.003083869,-0.005318329,0.0013618231,0.7399856,0.71874714,1.1303
-4.91850996017,3.731469,4.788079,-4.148911,0.0,0.0,0.0,1.9767987,-0.09035871,-9.574248,0.005984668,0.21893997,2.7407138,-0.0055954154,0.00115959,0.0021053106,0.74000585,0.7187557,1.1303486
-4.89850997925,3.731469,4.788079,-4.148911,0.0,0.0,0.0,2.118519,0.025297325,-9.465533,0.005982782,0.2189394,2.7407134,-0.0028228236,0.0037586638,-0.00048650047,0.74000585,0.7187557,1.1303486
-4.8785200119,3.731469,4.788079,-4.148911,0.0,0.0,0.0,2.3187542,-0.055882696,-9.57401,0.005979862,0.21893859,2.740713,0.0031226585,-0.0016270066,-0.0025701378,0.74000585,0.7187557,1.1303486
-4.85852980614,3.7323685,4.786656,-4.15073,0.0,0.0,0.0,2.0482073,-0.15864925,-9.57716,0.005981867,0.2189488,2.7407134,0.0008313821,-0.0021845205,-0.0014726144,0.7400264,0.7187644,1.1303995
-4.83852982521,3.7323685,4.786656,-4.15073,0.0,0.0,0.0,1.9538549,-0.10870085,-9.526252,0.0059872163,0.21894372,2.7407146,-0.00104768,0.0030286345,0.003090369,0.7400264,0.7187644,1.1303995
-4.81853985786,3.7324412,4.7873435,-4.147631,0.0,0.0,0.0,2.318141,-0.054965347,-9.627484,0.00599097,0.21894734,2.7407153,0.0003358199,-0.0015199567,0.0018495985,0.7400481,0.718774,1.1304532
